regiao_desc,exposicao,premio_rel,pp_col,pp_rou,pp_total,loss_ratio,desvio_pct
AC - Acre,10581.257365308238,1655.9701833874788,564.9493688891017,41.31645411807492,606.2658230071766,0.3731246582988645,-63.38908580062779
AL - Alagoas,126588.03897283787,1409.0989698723236,608.75099161281,14.569323123990438,623.3203147368005,0.4626087778388288,-55.7646178115311
AM - Amazonas,56500.445590890944,1502.8162034883985,707.0121371208138,10.661172373289778,717.6733094941036,0.483289402378305,-52.244771660818465
AP - Amapá,2308.6711838603956,1630.9542809914506,394.150246393344,6.979366594383473e-08,394.1502464631377,0.2683096089363614,-75.8331517285981
BA - Bahia,719481.7277381383,1584.746485542188,749.8990468604795,128.145665675916,878.0447125363955,0.6009536130425807,-44.59399528272241
CE - Ceará,360345.5394120123,1482.2148051443255,620.1350388519655,34.328429225492506,654.4634680774581,0.4574133460758169,-55.84557205838111
DF - Brasília,492383.1445051157,1354.6426172159854,645.061273090791,28.05974239708208,673.121015487873,0.5322939066805636,-50.310066512505855
ES - Espírito Santo,335363.2625217126,1380.676269240373,1130.908696167968,38.94298135485758,1169.8516775228256,0.8908384877904909,-15.269661427116421
GO - Goiás,530427.0106252534,1636.338428509943,852.1567805114607,30.264782602239766,882.4215631137004,0.5648386355070666,-46.073407081367804
GO - Sudeste de Goiás,63430.801684453625,1462.9541818638584,748.6061219009197,13.247037389250462,761.85315929017,0.535435000880803,-47.923648687374445
MA - Maranhão,102519.35997916711,1639.9181796457422,893.8621104511033,24.388019623078414,918.2501300741816,0.5405151617298932,-44.00634486090376
MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes,1167874.9522585901,1443.8811529522732,600.2679627274307,59.66657584636711,659.9345385737978,0.5128567877321106,-54.29440039268858
MG - Sul,320287.6985037718,1213.2301169119874,571.7138560228398,25.2855238662966,596.9993798891363,0.5333607249505128,-50.79256840337363
MG - Triângulo mineiro,399849.36867459025,1353.094630579587,672.8646196144774,48.055749413506526,720.920369027984,0.5671602282182984,-46.72062450508848
MG - Vale do Aço-Norte-Vale Jequitinhonha,104521.6610981147,1255.656615156251,630.672301743782,9.361640765081772,640.0339425088637,0.5304952068909763,-49.02794802468991
MS - Mato Grosso do Sul,205687.1582437004,1552.1069444353916,872.9164819889504,15.281588879063328,888.1980708680137,0.5746370899109297,-42.774686109589396
MT - Mato Grosso,246836.779660902,1792.760710658697,1112.5361525573205,64.44746078522036,1176.9836133425408,0.6687961449082119,-34.347980388855525
PA - Pará,166713.78352022497,1687.3531278738042,1260.6338923470885,52.706237197630884,1313.3401295447193,0.78670819531014,-22.165662430150014
PB - Paraíba,194700.59686805168,1320.629009872053,654.1407095222581,33.66571408904243,687.8064236113005,0.530550771471625,-47.918270879273095
PE - Pernambuco,613839.3568664105,1521.1667703000012,554.4237784138387,132.66744290792013,687.0912213217589,0.492892951761668,-54.8313022124292
PI - Piaui,81691.850663024,1714.4464648948474,918.0380073628829,31.683709219669996,949.7217165825529,0.545791644308174,-44.604761010090655
PR - Demais regiões,584497.6804282819,1359.3665186526857,639.2171132881759,34.73835640201003,673.955469690186,0.5401925224651575,-50.421357268813274
PR - F.Iguaþu-Medianeira-Cascavel-Toledo,189063.7857521167,1377.310123109116,696.7154842998261,23.804722256048745,720.5202065558749,0.5507901688396508,-47.686421927300934
PR - Met. Curitiba,902561.348685225,1454.6904254511321,602.5095987943367,69.82552976047195,672.3351285548086,0.5119513243483675,-53.78156638748053
RJ - Interior,433377.488675646,1508.7020409875001,592.1747061809647,66.46991428893445,658.6446204698992,0.47288344563251594,-56.34362501168273
RJ - Met. do Rio de Janeiro,1160535.3831844288,1982.5380220265313,543.6378622319577,193.66377208399902,737.3016343159567,0.41705300784294974,-62.81021467813797
RN - Rio Grande do Norte,198569.64038326172,1441.586328456611,518.5044250905248,76.29854870697407,594.8029737974989,0.4306755088485883,-58.73969098789207
RO - Rondônia,4267.0821175067695,1727.4901599805364,492.5369821728945,5.0328849530389905e-08,492.5369822232234,0.2886143104317871,-71.48829014292198
RR - Roraima,2503.7533719092617,1800.5661792819208,599.1521788128956,8.038644432075878e-08,599.152178893282,0.3314773371977309,-66.72423453314956
RS - Demais regiões,844437.9529290074,1246.952823028136,715.0003030157927,24.953360716561132,739.9536637323538,0.6416539560923943,-40.65904899790602
RS - Met. Porto Alegre e Caxias do Sul,951953.8876186772,1457.6813960353197,318.15787368658874,95.0901857249185,413.24805941150726,0.3113499486659131,-71.65031669228395
SC - Blumenau e demais regiões,576072.568309376,1267.866773178975,611.7571282887957,48.74149653469574,660.4986248234915,0.5710392671093425,-47.90472951922261
SC - Met. Florianópolis e Sul,391752.66156394966,1283.7501870225542,587.2882554062805,14.684918208342806,601.9731736146233,0.5005692529694669,-53.108230892585084
SC - Oeste,100950.18456918608,1191.0967031593418,2785.034419989977,5.091382983192975,2790.12580297317,2.3994255517668597,134.24846996658292
SE - Sergipe,142574.13174461154,1265.6815907011821,459.07985266008916,21.337549583561746,480.4174022436509,0.39847866969200263,-62.04279134869128
SP - Grande Campinas,765592.8167644739,1328.6545654773365,482.46607630136344,89.15780378990803,571.6238800912714,0.4841122371630415,-56.977238859228386
SP - Litoral Norte e Baixada Santista,169855.67915930133,1341.0121639568918,705.635795782485,33.51802151190068,739.1538172943857,0.6044214936148096,-44.88090136979947
SP - Met. de São Paulo,3633016.834284497,1793.955868283652,387.6226314726554,171.44599430616802,559.0686257788235,0.3696891869793065,-68.83598779307172
SP - Ribeirão Preto e Demais Mun. de Campinas,2357270.8857445284,1315.5036037665159,485.3725350899818,71.898013591595,557.2705486815768,0.49309330013613456,-57.63823473489437
SP - Vale do Paraíba e Ribeira,639052.2244225843,1344.8649234361487,456.32707297322725,85.48571861058005,541.8127915838073,0.44780082175035846,-59.71247504920658
TO - Tocantins,46222.434896785766,1710.5194238766344,1162.0379489994802,1.1238273768380502,1163.1617763763184,0.6527901920490037,-31.999499091323525
